651 741 25
29 179 48
257 963 138
742 266 849
567 224 165
456 170 420
380 537 392
288 283 119
795 995 521
45 685 850
386 479 131
133 908 74
188 125 153
658 625 734
264 67 196
976 8 313
386 6 562
132 518 550
378 129 140
162 196 506
587 797 921
681 778 181
110 144 850
661 715 777
535 53 845
172 503 531
664 637 582
907 826 781
672 515 224
848 730 234
773 278 705
532 781 834
909 511 307
708 233 108
877 95 748
698 382 537
599 694 63
71 512 109
522 800 928
170 587 570
957 78 930
395 850 806
72 800 579
823 276 429
500 973 731
205 120 957
939 997 437
811 710 687
718 457 724
280 755 972
80 24 171
815 979 364
344 661 954
840 929 604
52 346 41
452 757 590
265 926 942
952 760 110
592 668 459
737 581 45
153 397 464
283 779 513
386 153 452
444 564 562
209 472 652
324 80 962
61 320 69
837 350 4
685 209 154
259 676 167
661 111 7
4 649 231
814 85 391
411 529 971
293 186 180
134 446 384
307 519 624
271 399 982
357 899 85
89 900 728
421 815 825
498 875 195
914 327 824
399 391 614
256 840 164
880 522 179
99 395 957
405 436 45
614 689 890
797 604 600
685 956 37
144 304 511
540 138 321
70 910 856
207 876 393
605 507 245
531 9 952
343 379 574
112 376 849
526 542 380
644 227 239
522 726 104
600 797 572
617 356 208
363 915 174
414 447 918
202 757 751
442 146 496
169 935 877
975 663 335
287 821 40
378 507 45
932 128 149
389 282 969
681 974 375
193 613 754
708 725 796
944 20 803
989 829 908
542 633 153
853 866 445
343 558 468
714 140 159
592 779 636
564 2 921
955 401 290
641 763 647
955 75 695
265 750 938
907 141 832
785 357 587
984 367 943
578 449 798
496 296 827
722 18 639
855 591 223
328 75 703
799 266 60
275 915 336
592 781 504
775 226 22
219 576 566
595 36 583
519 878 666
629 118 259
236 206 582
453 386 563
648 867 590
793 147 935
760 71 939
749 945 712
67 673 450
496 892 608
180 149 112
467 697 205
357 763 449
449 84 467
46 401 589
0 121 318
660 504 821
999 925 278
765 912 551
119 145 150
551 785 796
131 736 827
460 643 147
616 205 707
168 594 803
25 620 142
759 204 720
803 955 21
512 699 275
597 388 376
275 250 504
726 596 726
231 963 63
833 772 170
331 710 285
647 740 659
949 573 327
100 679 189
439 875 513
854 511 443
70 10 165
128 293 469
886 392 288
304 551 284
282 968 502
129 373 184
976 417 272
396 169 949
151 35 529
399 842 687
848 286 661
60 957 112
247 505 777
617 792 864
616 632 68
949 433 334
474 403 575
435 746 819
487 706 678
879 575 124
879 792 757
107 349 656
797 585 538
392 550 417
160 28 290
776 481 668
689 163 945
828 949 986
117 551 73
832 57 939
315 807 390
28 954 619
492 298 567
256 26 241
185 329 61
374 161 728
560 277 656
341 213 318
609 793 92
489 788 933
816 629 250
272 162 60
563 768 937
89 485 303
331 300 69
863 615 825
999 72 800
778 945 227
681 777 515
590 802 324
142 895 241
63 466 759
350 712 757
985 635 450
975 812 731
840 825 890
830 147 280
223 853 947
96 545 680
852 829 348
817 742 173
759 577 810
523 737 417
15 995 598
936 642 354
496 452 95
491 468 694
490 920 826
894 821 4
860 807 513
381 408 375
931 872 198
911 717 154
13 943 930
835 676 429
28 689 103
818 121 340
822 970 795
705 228 29
448 395 396
575 690 907
547 578 397
487 424 584
339 672 480
45 468 880
871 699 295
750 168 909
73 511 739
631 63 52
363 866 609
264 787 498
143 391 235
873 622 633
561 325 570
743 105 132
39 62 928
657 501 679
579 537 126
321 634 555
302 727 526
260 173 980
940 326 36
274 56 450
152 858 873
233 242 827
133 86 490
937 214 255
289 829 710
836 447 506
406 389 877
734 170 187
232 760 930
735 883 289
448 194 806
364 412 38
93 136 471
300 485 640
958 441 438
95 727 57
323 309 778
767 346 667
983 872 589
613 534 615
793 705 612
147 963 265
954 908 557
627 750 182
412 821 664
9 32 866
916 938 14
669 520 567
166 486 624
232 202 209
630 436 325
136 942 574
486 890 708
486 757 467
839 335 251
964 342 387
982 462 950
934 343 835
61 278 525
901 387 133
691 915 102
452 568 615
497 273 904
133 489 898
312 568 444
700 744 74
277 760 571
382 495 428
134 275 97
354 709 525
783 845 10
349 484 982
963 728 830
203 507 901
559 387 117
19 521 479
873 177 538
925 253 473
849 547 552
735 465 161
332 445 700
894 611 192
558 660 710
900 532 913
201 479 356
854 593 291
908 435 723
988 581 190
368 325 542
10 156 876
681 255 784
759 756 560
114 984 630
208 78 712
98 252 570
136 448 422
13 127 262
65 929 993
684 391 47
454 586 161
194 310 447
578 979 36
912 988 613
393 257 222
558 36 851
359 186 528
253 196 188
942 581 250
719 980 967
466 154 27
594 500 459
286 696 550
103 294 631
62 580 193
821 858 752
24 63 760
119 980 956
182 499 516
273 869 596
460 154 516
233 787 694
975 640 938
6 951 573
52 293 911
189 150 622
544 7 101
171 852 829
770 821 86
587 563 728
778 64 570
129 24 425
736 255 365
694 35 523
166 526 205
9 281 752
799 717 644
674 602 756
991 785 264
625 199 763
382 247 354
911 134 336
416 822 734
169 245 838
888 764 533
776 530 878
972 304 298
804 901 805
494 685 765
565 219 107
195 872 616
47 824 80
968 511 913
709 875 897
434 225 761
333 895 401
620 928 214
199 578 340
545 44 156
110 292 822
954 447 949
422 195 136
295 934 838
376 984 225
33 465 985
619 128 58
152 239 131
589 668 259
208 778 915
951 712 312
28 280 899
593 851 553
898 83 728
150 169 841
738 751 763
461 515 850
913 687 253
626 987 572
373 71 937
493 258 553
711 33 158
727 752 122
297 790 504
989 845 852
527 199 486
236 808 658
210 838 446
265 558 815
509 309 948
966 297 672
263 289 903
180 705 139
565 863 798
103 735 515
715 406 797
14 85 208
758 396 29
338 707 838
59 134 611
918 547 107
822 39 976
262 436 330
766 731 627
505 482 92
311 917 554
483 662 942
760 340 911
27 222 813
563 755 329
334 64 844
182 939 119
735 236 889
